Model,Rating,LastMonth,MRP,Discount,Discount%,Revenue,PriceSegment,Brand
MSI Stealth,2.8,50.0,492990,265000,46.25,13250000.0,Premium,msi
Unknown,4.0,400.0,62417,50240,19.51,20096000.0,Mid-Range,unknown
MSI Stealth,0.0,50.0,279990,199990,28.57,9999500.0,Premium,msi
Zebronics NC5500D,3.9,50.0,1299,799,38.49,39950.0,Budget,zebronics
ASUSProArt PX13,5.0,50.0,215990,159990,25.93,7999500.0,Premium,asusproart
Lenovo LOQ,3.7,50.0,139290,99990,28.21,4999500.0,Premium,lenovo
HP 15,3.8,400.0,71773,56990,20.6,22796000.0,Mid-Range,hp
Lenovo Yoga,3.6,50.0,125890,94990,24.55,4749500.0,Premium,lenovo
Lenovo IdeaPad,3.9,100.0,72490,49199,32.13,4919900.0,Mid-Range,lenovo
HP Laptop,3.6,50.0,95000,61800,34.95,3090000.0,Premium,hp
Apple MacBook,4.5,500.0,149900,83990,43.97,41995000.0,Premium,apple
Lenovo IdeaPad,3.9,50.0,50990,43100,15.47,2155000.0,Mid-Range,lenovo
Acer Aspire,0.0,50.0,51999,33990,34.63,1699500.0,Mid-Range,acer
HP 255,2.0,50.0,55000,25950,52.82,1297500.0,Budget,hp
HP 14s,4.1,50.0,51134,36990,27.66,1849500.0,Mid-Range,hp
Unknown,3.8,50.0,75000,53450,28.73,2672500.0,Mid-Range,unknown
Unknown,4.0,100.0,55190,33990,38.41,3399000.0,Mid-Range,unknown
HP 15s,3.9,50.0,67264,48100,28.49,2405000.0,Mid-Range,hp
MSI Prestige,0.0,50.0,149990,129990,13.33,6499500.0,Premium,msi
Lenovo IdeaPad,3.9,50.0,50990,43100,15.47,2155000.0,Mid-Range,lenovo
Dell Inspiron,4.6,50.0,90999,64790,28.8,3239500.0,Premium,dell
HP Pavilion,4.0,100.0,97867,72899,25.51,7289900.0,Premium,hp
Lenovo IdeaPad,3.0,50.0,130090,83990,35.44,4199500.0,Premium,lenovo
Unknown,3.9,300.0,70790,49990,29.38,14997000.0,Mid-Range,unknown
Unknown,3.9,50.0,77490,51999,32.9,2599950.0,Mid-Range,unknown
HP Pavilion,3.8,50.0,99019,77990,21.24,3899500.0,Premium,hp
ASUSProArt PX13,5.0,50.0,215990,159990,25.93,7999500.0,Premium,asusproart
Dell Inspiron,3.6,200.0,67336,56890,15.51,11378000.0,Mid-Range,dell
Lenovo V15,3.4,100.0,90540,49990,44.79,4999000.0,Mid-Range,lenovo
Acer Nitro,4.4,50.0,135399,97990,27.63,4899500.0,Premium,acer
Lenovo V14,3.3,50.0,49990,39980,20.02,1999000.0,Mid-Range,lenovo
Lenovo Ideapad,3.9,50.0,83890,57990,30.87,2899500.0,Mid-Range,lenovo
Unknown,3.1,300.0,40290,24100,40.18,7230000.0,Budget,unknown
Unknown,1.0,50.0,77507,72419,6.56,3620950.0,Premium,unknown
Unknown,3.8,100.0,53413,37990,28.87,3799000.0,Mid-Range,unknown
HP 15,1.0,50.0,77507,72419,6.56,3620950.0,Premium,hp
Lenovo IdeaPad,3.7,100.0,34990,25450,27.26,2545000.0,Budget,lenovo
HP Pavilion,4.0,100.0,97867,72899,25.51,7289900.0,Premium,hp
Dell New,0.0,50.0,109941,88820,19.21,4441000.0,Premium,dell
ASUS TUF,3.9,100.0,74990,58990,21.34,5899000.0,Mid-Range,asus
Lenovo IdeaPad,4.0,100.0,55190,33990,38.41,3399000.0,Mid-Range,lenovo
Lenovo Legion,0.0,50.0,279890,200990,28.19,10049500.0,Premium,lenovo
Unknown,3.6,50.0,52575,33990,35.35,1699500.0,Mid-Range,unknown
Lenovo LOQ,4.2,100.0,110890,82190,25.88,8219000.0,Premium,lenovo
HP 15s,3.9,50.0,67264,48100,28.49,2405000.0,Mid-Range,hp
Acer Aspire,3.4,50.0,30999,22990,25.84,1149500.0,Budget,acer
Lenovo IdeaPad,3.9,50.0,50990,43100,15.47,2155000.0,Mid-Range,lenovo
